,F0,F1,F2,F3,F4,F5,F6,F7
ACN,-0.04782063809143803,0.15718784723574128,0.21952198631939387,-0.20779300844626522,0.13002798708478824,0.12622167475207627,-0.08720283757177381,-0.13364634429213215
MCD,-0.17075848586278286,0.09029460651163106,-0.05440718686987607,0.1785679426996418,0.058084220391471215,0.03950333528010161,0.0058865797433686725,-0.0360377544978585
IBM,-0.08083301834681927,-0.04451808606308479,0.09644913375325553,-0.19433451744199984,0.1434217309034786,0.1530898751032811,-0.20159787327431225,0.0713300391716329
LIN,-0.11502553637024306,-0.045967919886698384,-0.01520603099494115,0.04872727031161318,0.04074826921186878,0.19899270596694232,0.1252132470389142,0.0012058300677765463
QCOM,0.15868867457064467,-0.09205363878888599,-0.13369571263470978,-0.08803919156616946,0.14137332139844982,0.15986384839590057,0.2512483973441702,-0.17466254326697
GE,0.010371004541592227,-0.2242066464931826,0.03137272773218152,0.07677515350752452,-0.17598624125805992,0.1374148485557694,-0.16295996244750996,0.04070116134376939
INTU,0.07897496759325316,0.21952779998743152,0.21590153642169496,-0.15797110404926606,0.0836388649235659,-0.0018232897015033028,-0.013508312363761708,-0.09723317793494338
PM,-0.16986891337651647,-0.006442602533893293,-0.06396863232234921,0.1206689050680233,0.06406134879797092,-0.06868242717954873,-0.041576600258069724,0.09861419005923126
CMCSA,-0.09615971570042418,-0.045544701980805714,0.048657818801433154,0.08678708545535935,0.03216666485291314,-0.1943054197657537,0.09127891690250489,-0.26056127514612326
DIS,-0.014872909414793379,-0.10644547376193284,0.1664448119388983,0.12409940448015802,-0.08811168735909233,-0.16453453465535128,0.02932276144551897,-0.2713848087252994
TXN,0.08474757936609541,-0.15121600892541226,-0.1814293766481895,-0.010185497197416859,0.17320434367897483,0.1474759911640516,0.3020788337485158,-0.19431108457470966
CAT,0.0008819982842949864,-0.3569042438059568,-0.03880300716739428,-0.06387433820617366,0.04231519644287376,0.02588559371263817,-0.06391250551777916,-0.02839524859131807
AMGN,-0.1425453966075744,0.011839478696239797,-0.2042350468091549,-0.19660421435599837,-0.16173575722792868,-0.07523433360192046,0.06871911890654502,-0.06396594389964255
PFE,-0.1409283391472075,-0.0001545107938015171,-0.12195706747689361,-0.27719544933264034,-0.17293754506777187,-0.05008605100893788,0.06224057964838541,-0.04951267248279335
SPGI,-0.05694508791320431,0.145929769783699,0.1485337453347522,0.002993186328094949,-0.021246449565953132,0.19000130762782808,-0.125104488220005,-0.06779991371119569
