# Lista de exclusión sectorial — fuente: exports del screener de InvestingPro (región USA), corte 2026-07-13
# Sectores: Financiero (1000 mayores por capitalización) y Utilities (sector completo, 130)
# LISTA BLANCA (se analizan normalmente por ser plataformas de pagos, no bancos): V, MA, PYPL, FISV/FI, FIS, GPN, JKHY, WEX, CPAY, TOST, XYZ (Block), FOUR (Shift4)
ticker,name,sector
BMRC,Bank of Marin Bancorp,Financiero
BNCC,BNCCorp Inc,Financiero
BNY,Bank of New York Mellon Corp,Financiero
BOH,Bank of Hawaii Corporation,Financiero
BOKF,BOK Financial Corporation,Financiero
BORT,Bank of Botetourt,Financiero
BOTJ,Bank of the James Financial Group,Financiero
BOW,Bowhead Specialty Holdings Inc,Financiero
BPOP,Popular Inc,Financiero
BPRN,Princeton Bancorp Inc,Financiero
BRBS,Blue Ridge Bankshares Inc,Financiero
BREZ,Breeze Acquisition Corp II,Financiero
BRK.A,Berkshire Hathaway Inc Class A,Financiero
BRK.B,Berkshire Hathaway Inc Class B,Financiero
BRKH.U,Burtech Acquisition Corp II Unit,Financiero
BRO,Brown & Brown Inc,Financiero
BRR,ProCap Financial Inc,Financiero
BSBK,Bogota Financial Corp,Financiero
BSFO,Bank of San Francisco,Financiero
BSRR,Sierra Bancorp,Financiero
BSSC,The Bank of Southside Virginia Corporation,Financiero
BSVN,Bank7 Corp,Financiero
BTGO,BitGo Holdings Inc,Financiero
BULL,Webull Corp,Financiero
BUR,Burford Capital Ltd,Financiero
BUSE,First Busey Corp,Financiero
BVFL,BV Financial Inc,Financiero
BWB,Bridgewater Bancshares Inc,Financiero
BWFG,Bankwell Financial Group Inc,Financiero
BWIN,Baldwin Insurance Group Inc,Financiero
BWIV,Blue Water Acquisition Corp IV,Financiero
BX,Blackstone Inc,Financiero
BY,Byline Bancorp Inc,Financiero
BYLB,"""Boyle Bancorp"," Inc.""",Financiero
C,Citigroup Inc,Financiero
CAC,Camden National Corporation,Financiero
CACC,Credit Acceptance Corporation,Financiero
CAES,Cantor Equity Partners VII Inc,Financiero
CAII,Collective Acquisition Corp II,Financiero
CAQ,Cambridge Acquisition Corp,Financiero
CARE,Carter Bank and Trust,Financiero
CASH,Pathward Financial Inc,Financiero
CASS,Cass Information Systems Inc,Financiero
CATY,Cathay General Bancorp,Financiero
CB,Chubb Ltd,Financiero
CBAN,Colony Bankcorp Inc,Financiero
CBBI,CBB Bancorp Inc,Financiero
CBC,Central Bancompany,Financiero
CBFV,CB Financial Services Inc,Financiero
CBK,Commercial Bancgroup Inc,Financiero
CBNA,Chain Bridge Bancorp Ltd,Financiero
CBNK,Capital Bancorp,Financiero
CBOE,Cboe Global Markets Inc,Financiero
CBSH,Commerce Bancshares Inc,Financiero
CBTN,"""Citizens Bancorp Investment"," Inc.""",Financiero
CBU,Community Bank System Inc,Financiero
CCAQ,Collective Acquisition Corp,Financiero
CCB,Coastal Financial Corp,Financiero
CCBG,Capital City Bank Group,Financiero
CCFN,Muncy Columbia Financial Corp,Financiero
CCII,Cohen Circle Acquisition Corp II,Financiero
CCIX,Churchill Capital Corp IX,Financiero
CCNB,"""Coastal Carolina Bancshares"," Inc.""",Financiero
CCNE,CNB Financial Corporation,Financiero
CCXI,Churchill Capital Corp XI,Financiero
CDZI,Cadiz Inc,Utilities
CEG,Constellation Energy Corp,Utilities
CEPF,Cantor Equity Partners IV Inc,Financiero
CEPO,Cantor Equity Partners I Inc,Financiero
CEPS,Cantor Equity Partners VI Inc,Financiero
CEPV,Cantor Equity Partner V Corp,Financiero
CFBK,CF Bankshares Inc,Financiero
CFFI,C&F Financial Corporation,Financiero
CFFN,Capitol Federal Financial Inc,Financiero
CFG,Citizens Financial Group Inc,Financiero
CFR,Cullen/Frost Bankers Inc,Financiero
CFSU,Complete Fin Solu,Financiero
CG,Carlyle Group Inc,Financiero
CGCF.U,Cartesian Growth IV Corp,Financiero
CGEI,CGE Energy Inc,Utilities
CHAR,Charlton Aria Acquisition Corp,Financiero
CHBH,Croghan Bancshares Inc,Financiero
CHCO,City Holding Company,Financiero
CHEC,Chenghe Acquisition III Co,Financiero
CHMG,Chemung Financial Corp,Financiero
CHPG,ChampionsGate Acquisition Corp,Financiero
CHYM,Chime Financial Inc,Financiero
CIA,Citizens Inc,Financiero
CINF,Cincinnati Financial Corporation,Financiero
CION,Cion Investment Corp,Financiero
CIVB,Civista Bancshares Inc,Financiero
CLBK,Columbia Financial Inc,Financiero
CLBR,Colombier Acquisition Corp III,Financiero
CLIR.F,Clearford Water Systems Inc.,Utilities
CLUS,Cluster Group Holdings Limited Co.,Financiero
CME,CME Group Inc,Financiero
CMHF,"""Community Heritage Financial"," Inc.""",Financiero
CMII,Columbus Circle Capital Corp II,Financiero
CMNR,"""Commerce Energy Group"," Inc.""",Utilities
CMRB,First Commerce Bank,Financiero
CMS,CMS Energy Corporation,Utilities
CMTV,Community Bancorp,Financiero
CNA,CNA Financial Corporation,Financiero
CNBB,Cnb Community Bancorp Inc,Financiero
CNBP,Cornerstone Bancorp Inc.,Financiero
CNBW,CNB Corp.,Financiero
CNCK,Coincheck Group NV,Financiero
CNER,China New Energy Group Company,Utilities
CNND,Canandaigua National Corporation,Financiero
CNNE,Cannae Holdings Inc,Financiero
CNO,CNO Financial Group Inc,Financiero
CNOB,ConnectOne Bancorp Inc,Financiero
CNP,CenterPoint Energy Inc,Utilities
CNS,Cohen & Steers Inc,Financiero
CODI,Compass Diversified Holdings,Financiero
COF,Capital One Financial Corporation,Financiero
COFS,ChoiceOne Financial Services Inc,Financiero
COIN,Coinbase Global Inc,Financiero
COLB,Columbia Banking System Inc,Financiero
COPL,Copley Acquisition Corp,Financiero
COSO,Coastalsouth Bancshares Inc,Financiero
CPF,Central Pacific Financial Corp,Financiero
CPK,Chesapeake Utilities Corporation,Utilities
CPKF,Chesapeake Finl Shs,Financiero
CPSS,Consumer Portfolio Services Inc,Financiero
CPWR,Ocean Thermal Energy Corp,Utilities
CRAC,Crown Reserve Acquisition Corp. I,Financiero
CRAN,Crane Harbor Acquisition Corp II,Financiero
CRAQ,Cal Redwood Acquisition Corp,Financiero
CRBG,Corebridge Financial Inc,Financiero
CRD.A,Crawford & Comp D Class A,Financiero
CRD.B,Crawford & Comp D,Financiero
CSBB,CSB Bancorp Inc,Financiero
CSHR,Coinshares PLC,Financiero
CSHX,Cashmere Valley Bank,Financiero
CSTA.F,Constellation Acquisition Corp I,Financiero
CTAA,Clearthink 1 Acquisition Corp,Financiero
CTBI,Community Trust Bancorp Inc,Financiero
CTUY,Century Next Financial Corporation,Financiero
CUB,Lionheart Holdings,Financiero
CUBI,Customers Bancorp Inc,Financiero
CURR,CURRENC Group Inc,Financiero
CVBF,CVB Financial Corporation,Financiero
CWBC,Community West Bancshares,Financiero
CWBK,CW Bancorp,Financiero
CWCO,Consolidated Water Co Ltd,Utilities
CWEN,Clearway Energy Inc Class C,Utilities
CWT,California Water Service Group,Utilities
CXII,Churchill Capital Corp XII,Financiero
CYVF,Crystal Valley Financial Corp,Financiero
CZBS,Citizens Bancshares Corp,Financiero
CZFS,Citizens Financial Services Inc,Financiero
CZNC,Citizens & Northern Corp,Financiero
CZWI,Citizens Community Bancorp Inc,Financiero
D,Dominion Energy Inc,Utilities
DAAQ,Digital Asset Acquisition Corp,Financiero
DAVE,Dave Inc,Financiero
DBCA,D Boral Acquisition I Corp,Financiero
DBIN,"""Dacotah Banks"," Inc.""",Financiero
DCOM,Dime Community Bancshares Inc,Financiero
DFIN,Donnelley Financial Solutions Inc,Financiero
DGAC.U,Disciplined Growth Acquisition Corp Unit,Financiero
DGIC.A,Donegal Group A Inc,Financiero
DGIC.B,Donegal Group A Inc Class B,Financiero
DIMC,"""Dimeco"," Inc.""",Financiero
DLO,Dlocal Ltd,Financiero
DMAA,Drugs Made In America Acquisition,Financiero
DMII,Drugs Made In America Acquisition II Corp,Financiero
DNMX,Dynamix Corp III,Financiero
DRDB,Roman DBDR Acquisition Corp II,Financiero
DSAC,Daedalus Special Acquisition Corp,Financiero
DTE,DTE Energy Company,Utilities
DUK,Duke Energy Corporation,Utilities
DYNA,"""Dynastar Holdings"," Inc.""",Utilities
DYNC,Dynamix Corp,Financiero
DYOR,Insight Digital Partners II,Financiero
EBC,Eastern Bankshares Inc,Financiero
EBMT,Eagle Bancorp Montana Inc,Financiero
ECBK,ECB Bancorp Inc,Financiero
ECPG,Encore Capital Group Inc,Financiero
ED,Consolidated Edison Inc,Utilities
EEFT,Euronet Worldwide Inc,Financiero
EFSC,Enterprise Financial Services,Financiero
EFSI,Eagle Financial Services Inc,Financiero
EG,Everest Re Group Ltd,Financiero
EGBN,Eagle Bancorp Inc,Financiero
EGHA,EGH Acquisition Corp,Financiero
EIG,Employers Holdings Inc,Financiero
EIX,Edison International,Utilities
ELLO,Ellomay Capital Ltd,Utilities
EMIS,Emmis Acquisition Corp,Financiero
EMYB,Embassy Bancorp Inc,Financiero
ENBP,ENB Financial Corp,Financiero
ENDI,Enterprise Diversified Inc,Financiero
ENVA,Enova International Inc,Financiero
EQBK,Equity Bancshares Inc,Financiero
EQH,Axa Equitable Holdings Inc,Financiero
ERIE,Erie Indemnity Company,Financiero
ES,Eversource Energy,Utilities
ESNT,Essent Group Ltd,Financiero
ESQ,Esquire Financial Holdings Inc,Financiero
ETOR,eToro Group Ltd,Financiero
ETR,Entergy Corporation,Utilities
ETRX.F,Etrion Corporation,Utilities
ETSS,Energy Transition Special,Financiero
EVAC,EQV Ventures Acquisition Corp II,Financiero
EVOX,Evolution Global Acquisition Corp,Financiero
EVR,Evercore Partners Inc,Financiero
EVRG,Evergy Inc,Utilities
EVTC,Evertec Inc,Financiero
EWBC,East West Bancorp Inc,Financiero
EXC,Exelon Corporation,Utilities
EXSR,Exchange Bank,Financiero
EZPW,EZCORP Inc,Financiero
FACO,First Acceptance Corp,Financiero
FACT,FACT II Acquisition Corp,Financiero
FAF,First American Corporation,Financiero
FBAK,First National Bank Alaska,Financiero
FBIP,FNB Bancorp Inc,Financiero
FBIZ,First Business Financial Services,Financiero
FBK,FB Financial Corp,Financiero
FBLA,FB Bancorp Inc,Financiero
FBNC,First Bancorp,Financiero
FBP,First Bancorp,Financiero
FCAP,First Capital Inc,Financiero
FCBC,First Community Bancshares Inc,Financiero
FCBM,First Carolina Financial Services,Financiero
FCCO,First Community Corporation,Financiero
FCF,First Commonwealth Financial,Financiero
FCFS,FirstCash Inc,Financiero
FCNC.A,First Citizens BancShares Inc,Financiero
FCNC.B,First Citizens BancShares Inc Class B,Financiero
FCPB,"""First Capital Bancshares"," Inc.""",Financiero
FCRS,FutureCrest Acquisition Corp,Financiero
FDBC,Fidelity D&D Bancorp Inc,Financiero
FDMM.U,Freedom Metals Acquisition Corp,Financiero
FDS,FactSet Research Systems Inc,Financiero
FE,FirstEnergy Corporation,Utilities
FERA,Fifth Era Acquisition Corp I,Financiero
FEWP,Far East Wind Power Corp.,Utilities
FFBB,Ffb Bancorp,Financiero
FFBC,First Financial Bancorp,Financiero
FFDF,FFD Financial Corp,Financiero
FFIN,First Financial Bankshares Inc,Financiero
FFMH,First Farmers and Merchants Corporation,Financiero
FFMR,First Farmers Financial Corp,Financiero
FFXX.F,Helios Fairfax Partners Corporation,Financiero
FG,F&G Annuities & Life Inc,Financiero
FGBI,First Guaranty Bancshares Inc,Financiero
FGFH,Foresight Financial,Financiero
FGII,FG Imperii Acquisition Corp,Financiero
FGMC.U,FG Merger II Corp Unit,Financiero
FGPR,Ferrellgas Partners LP Unit,Utilities
FHB,First Hawaiian Inc,Financiero
FHI,Federated Investors Inc B,Financiero
FHN,First Horizon National Corporation,Financiero
FIBK,First Interstate BancSystem Inc,Financiero
FIGR,Figure Technology Solutions Ltd,Financiero
FIGX,FIGX Capital Acquisition Corp,Financiero
FINN,"""First National of Nebraska"," Inc.""",Financiero
FINR,Fintech Scion Ltd,Financiero
FINW,Finwise Bancorp,Financiero
FISI,Financial Institutions Inc,Financiero
FISN,Deep Fission Inc,Utilities
FITB,Fifth Third Bancorp,Financiero
FKYS,First Keystone Corp,Financiero
FLG,Flagstar Bank National Association,Financiero
FLYW,Flywire Corp,Financiero
FMAC,Future Money Acquisition Corp,Financiero
FMAO,Farmers & Merchants Bancorp Inc,Financiero
FMBH,First Mid Illinois Bancshares Inc,Financiero
FMBL,Farmers And Merchants Bank of Long Beach,Financiero
FMBM,F & M Bank Corp.,Financiero
FMCB,Farmers & Merchants Bancorp,Financiero
FMCC,Federal Home Loan Mortgage Corp,Financiero
FMNB,Farmers National Banc Corp,Financiero
FNB,F.N.B. Corp,Financiero
FNEC,First National Energy Corp,Utilities
FNF,Fidelity National Financial Inc,Financiero
FNLC,First Bancorp Inc,Financiero
FNMA,Federal National Mortgage Association,Financiero
FNRN,First Northern Community Bancorp,Financiero
FNWB,First Northwest Bancorp,Financiero
FNWD,Finward Bancorp,Financiero
FOA,Finance of America Companies Inc,Financiero
FRAF,Franklin Financial Services Corp,Financiero
FRBA,First Bank,Financiero
FRBP,Franklin BSP Capital Corporation,Financiero
FRBT,Forbright Inc,Financiero
FRME,First Merchants Corporation,Financiero
FRMO,Frmo Corp,Financiero
FRST,Primis Financial Corp,Financiero
FRVO,Fervo Energy Co Ltd,Utilities
FSBC,Five Star Bancorp,Financiero
FSBW,FS Bancorp Inc,Financiero
FSRL,First Reliance Bancshares Inc,Financiero
FSUN,Firstsun Capital Bancorp,Financiero
FTFI,"""First Berlin Bancorp"," Inc.""",Financiero
FTHA,Forefront Tech Holdings,Financiero
FTRA.U,FutureCorp Space Acquisition 1,Financiero
FULT,Fulton Financial Corporation,Financiero
FUNC,First United Corporation,Financiero
FVAV,Fortress Value Acquisition V Corp,Financiero
FVCB,FVCBankcorp Inc,Financiero
FXAC,Fortunex Acquisition Corp,Financiero
FXLG,FS Bancorp,Financiero
FXNC,First National Corp,Financiero
GABC,German American Bancorp Inc,Financiero
GAMI,Gamco Investors Inc,Financiero
GBCI,Glacier Bancorp Inc,Financiero
GBFH,GBank Financial Holdings Inc,Financiero
GBLI,Global Indemnity PLC,Financiero
GCBC,Greene County Bancorp Inc,Financiero
GCCO,Garden City Co.,Utilities
GCGR,General Catalyst Global Resilience,Financiero
GCMG,GCM Grosvenor Inc,Financiero
GDOT,Green Dot Corporation,Financiero
GEFI,Geo Finance Corp.,Utilities
GEMI,Gemini Space Station Ltd,Financiero
GHI,Greystone Housing Impact Investors,Financiero
GHXI.U,Gores Holdings XI Inc,Financiero
GIW,GigCapital8 Corp,Financiero
GIX,GigCapital9 Corp,Financiero
GL,Globe Life Inc,Financiero
GLED,GalaxyEdge Acquisition Corp,Financiero
GLRE,Greenlight Capital Re Ltd,Financiero
GLXY,Galaxy Digital Inc,Financiero
GNE,Genie Energy Ltd,Utilities
GNW,Genworth Financial Inc,Financiero
GPAC,General Purpose Acquisition Corp,Financiero
GPAT,GP Act III Acquisition Corp,Financiero
GRAF,Graf Global Corp,Financiero
GREH,Green Rain Energy Holdings Inc,Utilities
GRGG,"""Green For Energy"," Inc.""",Utilities
GS,Goldman Sachs Group Inc,Financiero
GSBC,Great Southern Bancorp Inc,Financiero
GSHD,Goosehead Insurance Inc,Financiero
GSHR,Gesher Acquisition II Corp,Financiero
GSRF,GSR IV Acquisition Corp,Financiero
GSRV,GSR V Acquisition Corp,Financiero
GTEN,Gores Holdings X Inc,Financiero
GTER.A,Globa Terra Acquisition Corp,Financiero
GTER.B,Globa Terra Acquisition Corp Class B,Financiero
GUAC,Berto Acquisition Corp II,Financiero
GWRS,Global Water Resources Inc,Utilities
GWTR,"""Global Water Technologies"," Inc.""",Utilities
HACQ,HCM IV Acquisition Corp,Financiero
HAFC,Hanmi Financial Corporation,Financiero
HAPN,Happen Inc,Financiero
HARL,Harleysville Financial Corp,Financiero
HAVA,Harvard Ave Acquisition Corp,Financiero
HBAN,Huntington Bancshares Incorporated,Financiero
HBCP,Home Bancorp Inc,Financiero
HBIA,Hills Bancorporation,Financiero
HBNC,Horizon Bancorp,Financiero
HBT,Hbt Financial Inc,Financiero
HCAC,Hall Chadwick Acquisition Corp,Financiero
HCGI,Huntwicke Capital Group Inc.,Financiero
HCI,HCI Group Inc,Financiero
HCIC,Hennessy Capital Investment Corp,Financiero
HCMA,HCM III Acquisition Corp,Financiero
HE,Hawaiian Electric Industries Inc,Utilities
HFWA,Heritage Financial Corporation,Financiero
HG,Hamilton Insurance Group Ltd B,Financiero
HGTY,Hagerty Inc,Financiero
HIFS,Hingham Institution for Savings,Financiero
HIG,Hartford Financial Services Group,Financiero
HIPO,Hippo Holdings Inc,Financiero
HLI,Houlihan Lokey Inc,Financiero
HLNE,Hamilton Lane Inc,Financiero
HLXC,Helix Acquisition III Corp,Financiero
HMN,Horace Mann Educators Corporation,Financiero
HNOI,HNO International Inc,Utilities
HNRG,Hallador Energy Company,Utilities
HNVR,Hanover Bancorp Inc,Financiero
HOMB,Home BancShares Inc,Financiero
HONT,"""Honat Bancorp"," Inc.""",Financiero
HOOD,Robinhood Markets Inc,Financiero
HOPE,Hope Bancorp Inc,Financiero
HRTG,Heritage Insurance Holdings Inc,Financiero
HTB,HomeTrust Bancshares Inc,Financiero
HTH,Hilltop Holdings Inc,Financiero
HTO,H2O America,Utilities
HVII,Hennessy Capital Investment Corp VII,Financiero
HVMC,Highview Merger Corp,Financiero
HWBK,Hawthorn Bancshares Inc,Financiero
HWC,Hancock Whitney Corp,Financiero
HYNE,Hoyne Bancorp Inc,Financiero
IACO,Idea Acquisition Corp,Financiero
IACQ,Irenic Acquisition Corp,Financiero
IBCP,Independent Bank Corporation,Financiero
IBKR,Interactive Brokers Group Inc,Financiero
IBOC,International Bancshares Corporation,Financiero
ICE,Intercontinental Exchange Inc,Financiero
IDA,IDACORP Inc,Utilities
IDAC,Iron Dome Acquisition I Corp,Financiero
IEAG,Infinite Eagle Acquisition Corp,Financiero
IGAC,Invest Green Acquisition Corp,Financiero
IGIC,International General Insurance Holdings Ltd,Financiero
ILLU,Illumination Acquisition I Corp,Financiero
IMXI,International Money Express Inc,Financiero
INAC,Indigo Acquisition Corp,Financiero
INBC,"""InBankshares"," Corp""",Financiero
INBK,First Internet Bancorp,Financiero
INDB,Independent Bank,Financiero
INTR,Inter and Co Class A,Financiero
INV,Innventure Inc,Financiero
IPCX,Inflection Point Acquisition III,Financiero
IPEX,Inflection Point Acquisition Corp V,Financiero
IPFX,Inflection Point Acquisition A,Financiero
IPVV.U,InterPrivate Investment Partners V,Financiero
IRAB,Iris Acquisition II Corp,Financiero
IRHO,Iron Horse Acquisitions Corp II,Financiero
ISBA,Isabella Bank Corp,Financiero
ISNR.U,Snow Rothschild Acquisition Corp Unit,Financiero
ISTR,Investar Holding Corp,Financiero
ITHA,ITHAX Acquisition Corp III,Financiero
ITIC,Investors Title Company,Financiero
IVZ,Invesco Plc,Financiero
JABR.U,JAB Acquisition Corp I Unit,Financiero
JACS,Jackson Acquisition Company II,Financiero
JCAP,Jefferson Capital Inc,Financiero
JDVB,"""JD Bancshares"," Inc.""",Financiero
JEF,Jefferies Financial Group Inc,Financiero
JENA,Jena Acquisition Corp II,Financiero
JFBC,Jeffersonville Bancorp,Financiero
JMSB,John Marshall Bancorp Inc,Financiero
JPM,JPMorgan Chase & Co,Financiero
JRVR,James River Group Holdings Ltd,Financiero
JWSM.F,Jaws Mustang Acquisition Corp,Financiero
JXN,Jackson Financial Inc,Financiero
KBON,Karbon Capital Partners Corp,Financiero
KCAC.U,Kensington Capital Acquisition IV Corp,Financiero
KCHV,Kochav Defense Acquisition Corp,Financiero
KCLI,Kansas City Life Insurance Company,Financiero
KEY,KeyCorp,Financiero
KEYY,Keystone Acquisition Corp,Financiero
KFII,K&F Growth Acquisition II Corp,Financiero
KINS,Kingstone Companies Inc,Financiero
KISB,"""Kish Bancorp"," Inc.""",Financiero
KKR,KKR & Co LP,Financiero
KLAR,Klarna Group PLC,Financiero
KMPR,Kemper Corporation,Financiero
KNRL.F,Kontrol Technologies Corp.,Utilities
KNSL,Kinsale Capital Group Inc,Financiero
KOYN,CSLM Digital Asset Acquisition III,Financiero
KPET,KPET Ultra Paceline Corp,Financiero
KRAQ,KRAKacquisition Corp,Financiero
